AssignmentStatus,WorkTimeInSeconds,Input.document,Input.case,Answer.answer
Approved,203,"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",0,"Obama was the 44th President of the US. He's married to Michelle and he has a lot of Kenyan people in his family but also some European ancestry as well.

The most recent person in Obama's family to immigrate to the US was in 1850. It was a man that came from Ireland to Ohio."
Approved,676,"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",0,"The 44th president of the United States Barack Obama and his wife Michelle come from different ancestry from the people of Kenya, African American, and Old Stock American.

On his maternal side the most recent immigrant from his ancestry can be traced back to Moneygall, Ireland in 1829 wand then emigrated to Ohio via New York in 1850"
Approved,106,"<p>With roots in Kansas, Kenya and beyond, the President is a one-man melting pot. </p>",1,"This national leader is a unique example of diversity, because he traces his ancestry from places as far-flung as Africa and midwestern America."
Approved,45,"<p>With roots in Kansas, Kenya and beyond, the President is a one-man melting pot. </p>",1,"The President has roots in Kansas, Kenya, and beyond making him a on-man melting pot."
Approved,124,"<p>Home to two AAA Four-Diamond nationally historic hotels, three challenging golf courses, two rejuvenating spas, impressive meeting venues and a Vegas-style casino (rated No. 4 Best Casino outside of Las Vegas by Yahoo Travel, 2016), the resort is sure to exceed your expectations.</p><p>Voted Best Hotel in Indiana by Travel & Leisure Magazine, French Lick Resort is family-friendly, business-competent and perfect for a planned or impromptu getaway. </p>",2,"It has three hotels that are AAA Four-Diamond historic spots. There are also three golf courses, two beautiful spas, and places to have meetings. There's even a casino.

It was voted the best hotel in the state of Indiana by Travel & Leisure. It's great for business, family, or leisure."
Approved,518,"<p>Home to two AAA Four-Diamond nationally historic hotels, three challenging golf courses, two rejuvenating spas, impressive meeting venues and a Vegas-style casino (rated No. 4 Best Casino outside of Las Vegas by Yahoo Travel, 2016), the resort is sure to exceed your expectations.</p><p>Voted Best Hotel in Indiana by Travel & Leisure Magazine, French Lick Resort is family-friendly, business-competent and perfect for a planned or impromptu getaway. </p>",2,"The resort contains two historic hotels that have been rated AAA Four Diamond.  It also boasts not one but three advanced golf courses, two spas, a number of large and meeting spaces for your group of any size.  It contains a well appointed and exciting Casino similar to those types found in Las Vegas and was in fact rated the fourth best Casino outside of Vegas by Yahoo travel in 2016.  There is no question that this property will not just meet but greatly fulfill all your needs and plans.  The French Lick Resort is perfect for both families and business travelers both for last minute plans and meetings. 

The Hotel has been voted the best Hotel in Indiana by Travel & Leisure Magazine."
Approved,243,"<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",3,"French Lick Resort is in West Baden and French Lick, Indiana. It has two spa hotels, stables for horses, a casino, and some golf courses. It was renovated at a cost of $500 million!"
Approved,487,"<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",3,"In West Baden and French Lick, Indiana there is a resort complex called French Lick Resort. It is a 3000 acre complex that offers golf courses, a casino, stables, two spa hotels that were all part of a restoration and development project that cost $500 million."
Approved,53,"<p>The meals, the kids, the housework, the job…the only way to stay sane is to get organized. Fat chance, you say? Remember, the goal of organizing isn't to make your house pristine; it's to make your life more functional. </p>",4,"Cooking, children, chores, work -- how can you keep your sanity? Getting organized. ""No way,"" you might argue. But organization isn't about keeping a perfect household. It's about leading a manageable lifestyle."
Approved,65,"<p>The meals, the kids, the housework, the job…the only way to stay sane is to get organized. Fat chance, you say? Remember, the goal of organizing isn't to make your house pristine; it's to make your life more functional. </p>",4,"You will lose your mind if you don't get organized around the house. I know it's hard, but you should really do it. It will make your life go more smoothly. It's not about it being spotless, it's about it being orderly."
Approved,184,"<p>How to Be Organized. No one likes being disorganized. Organization takes time, but when you get the hang of it, life becomes much easier. To be truly organized, you need to organize your space and organize your time, making sure you keep track of all your appointments and commitments. </p>",5,"Successful Organization: Lack of organization is never pleasant. Although getting organized isn't achieved instantly, your life will be far less complicated once you manage it. Monitor your schedule in order to manage your time, and be sure your surroundings are organized too."
Approved,50,"<p>How to Be Organized. No one likes being disorganized. Organization takes time, but when you get the hang of it, life becomes much easier. To be truly organized, you need to organize your space and organize your time, making sure you keep track of all your appointments and commitments. </p>",5,Getting Organized. Disorganization is something most people want to avoid. Being organized can be time consuming but will make your life a lot easier when you develop the habit. Being truly organized means getting your time and space in order and getting on top of your responsibilities and appointments.
Approved,168,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>",6,"Commodes are plumbing equipment that collect bodily waste products. Flushable ceramic commodes are most typical in the First World, where squatting designs proliferate in the Eastern hemisphere, and sit-on units prevail in Western nations."
Approved,71,"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>",6,"Toilets are sanitary fixtures that handle storage and removal of human waste products like feces and urine. Porcelain toilets with flush capabilities are often found in developed nations. Western countries normally have toilets with seats, and East Asian countries prefer squat-style toilets."
Approved,112,<p>RV Toilets. Select from the most attractive & complete line-up in the industry. You’ll have a toilet that will provide years of trouble-free use.View Products </p>,7,"Commodes for recreational vehicles: Take your pick from among the broadest and most appealing selection of toilets. Enjoy owning a hassle-free, long-lasting plumbing fixture. Take a look at the options."
Approved,70,<p>RV Toilets. Select from the most attractive & complete line-up in the industry. You’ll have a toilet that will provide years of trouble-free use.View Products </p>,7,RV Toilets. Choose among the highest quality and fullest selection around. Your new toilet will work perfectly for years to come. See Products
Approved,126,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>",8,"A non-public institution for liberal arts studies, Mitchell College is located in Connecticut's New London. Enrollment totaled nearly 800, with a teaching staff of almost 70, as of recently. Furthermore, 7 out of 10 applicants are accepted."
Approved,251,"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>",8,"Mitchell College is a United States private liberal arts college located in New London, Connecticut on the Thames River.  In 2015, it had 778 students and 68 members of faculty.  The admission rate was 70%."
Approved,69,"<p>​Thames Academy can prepare your son or daughter to succeed – academically, socially and emotionally – in college. Get started today by applying for admission. </p>",9,"Thames Academy can prepare your son or daughter to succeed academically, socially, and emotionally in college.  Apply for admission today to get started."
