document,id
"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",0
"<p>With roots in Kansas, Kenya and beyond, the President is a one-man melting pot. </p>",1
"<p>Home to two AAA Four-Diamond nationally historic hotels, three challenging golf courses, two rejuvenating spas, impressive meeting venues and a Vegas-style casino (rated No. 4 Best Casino outside of Las Vegas by Yahoo Travel, 2016), the resort is sure to exceed your expectations.</p><p>Voted Best Hotel in Indiana by Travel & Leisure Magazine, French Lick Resort is family-friendly, business-competent and perfect for a planned or impromptu getaway. </p>",2
"<p>French Lick Resort is a resort complex in the central United States, located in the towns of West Baden and French Lick, Indiana. The 3,000-acre (12 km2) complex includes two historic resort spa hotels, stables, a casino, and three golf courses that are all part of a $500 million restoration and development project. </p>",3
"<p>The meals, the kids, the housework, the job…the only way to stay sane is to get organized. Fat chance, you say? Remember, the goal of organizing isn't to make your house pristine; it's to make your life more functional. </p>",4
"<p>How to Be Organized. No one likes being disorganized. Organization takes time, but when you get the hang of it, life becomes much easier. To be truly organized, you need to organize your space and organize your time, making sure you keep track of all your appointments and commitments. </p>",5
"<p>A toilet is a sanitation fixture used for the storing or disposal of human urine and feces. In developed countries, different forms of porcelain flush toilets are common: seats are usually used in the West while squat toilets are common in East Asia. </p>",6
"<p>RV Toilets. Select from the most attractive & complete line-up in the industry. You’ll have a toilet that will provide years of trouble-free use.View Products </p>",7
"<p>Mitchell College is a private liberal arts college on the Thames River, in New London, Connecticut, in the United States. In 2015 it had 778 students and faculty of 68; admission rate was 70%. </p>",8
"<p>​Thames Academy can prepare your son or daughter to succeed – academically, socially and emotionally – in college. Get started today by applying for admission. </p>",9
"<p>Knowledge Centered Service (KCS) is a service delivery methodology that focuses on knowledge as a key asset of the organization implementing it. </p>",10
"<p>The KCS® initiative consists of two components: a tactical discussion on KCS adoption and success, and a strategic discussion about the evolution of KCS and what is next. </p>",11
"<p>Air travel is a form of travel in vehicles such as helicopters, hot air balloons, blimps, gliders, hang gliding, parachuting, airplanes, jets, or anything else that can sustain flight. </p>",12
"<p>Always use the information exactly as it appears on your passport (to book and fill out any documents).</p><p>Passport cards will not be accepted as form of I.D. for international air travel. </p>",13
"<p>When you're buying a home using a mortgage, refinancing your existing mortgage, or selling your home to anyone other than an all-cash buyer, the home appraisal is a key component of the transaction.</p><p>Appraisals are almost always used in purchase and sale transactions and commonly used in refinance transactions. In a purchase and sale transaction, an appraisal is used to determine whether the home's contract price is appropriate given the home's condition, location, and features. In a refinance, it assures the lender that it isn't handing the borrower more money than the home is worth.  </p>",14
"<p>Are you interested in learning about the history and value of your property or how to sell at auction? Skinner offers a complete range of appraisal and auction services designed to assist you in making decisions to fit your needs. </p>",15
"<p>Don't waste time digging through salvage yards. Use our state-of-the-art used auto parts system, updated daily, to find used car parts near you. Get started today! </p>",16
"<p>NationWide Used Auto Parts is a family run business with over three decades of experience in the automotive recycling industry. With hundreds of late model foreign and domestic cars on premise, we are confident we can help you with all of your used auto part needs. </p>",17
"<p>RCN DC Metro offers award winning high speed Internet service with our fastest speeds up to 1000 Mbps! You can surf, game, stream, and connect wirelessly to multiple devices through RCN’s powerful fiber-optic network. </p>",18
"<p>Internet access has become such an important fixture in our lives that, in most American households, it’s considered a required monthly utility, along the lines of the electric or phone bill. </p>",19
"<p>Plan your GMAT test prep around your schedule with live online GMAT prep courses, private tutoring, and other Kaplan options designed to help you get the most out of your prep. </p>",20
"<p>It may not be necessary to take a course in preparation for the GMAT. If you are very organized and approach preparing for the GMAT as carefully as you do for your applications, you are in a position to study on your own. </p>",21
"<p>A disc jockey is a person who mixes different sources of pre-existing recorded music as it is playing, usually for a live audience in a nightclub or dance club or via broadcasting.</p><p>DJs use equipment that can play at least two sources of recorded music simultaneously and mix them together. This allows the DJ to create seamless transitions between recordings and develop unique mixes of songs. </p>",22
"<p>Get creative with the state of the art professional DJ technology. DJ Player Pro goes beyond the laptop DJ with superior audio quality, innovative control and style. </p>",23
"<p>Google Maps is a web mapping service developed by Google. It offers satellite imagery, street maps, 360° panoramic views of streets (Street View), real-time traffic conditions (Google Traffic), and route planning for traveling by foot, car, bicycle (in beta), or public transportation. </p>",24
"<p>A map is a symbolic depiction emphasizing relationships between elements of some space, such as objects, regions, or themes. Many maps are static, fixed to paper or some other durable medium, while others are dynamic or interactive. </p>",25
"<p>Dinosaurs are a diverse group of reptiles of the clade Dinosauria that first appeared during the Triassic period. Although the exact origin and timing of the evolution of dinosaurs is the subject of active research, the current scientific consensus places their origin between 231 and 243 million years ago. </p>",26
"<p>Dinosaurs is an American family sitcom comedy television series that was originally broadcast on ABC from April 26, 1991 to July 20, 1994. The show, about a family of anthropomorphic dinosaurs (portrayed by puppets), was produced by Michael Jacobs Productions and Jim Henson Productions in association with Walt Disney Television and distributed by Buena Vista International, Inc.. </p>",27
"<p>Visit ESPN to get up-to-the-minute sports news coverage, scores, highlights and commentary for NFL, MLB, NBA, College Football, NCAA Basketball and more.</p><p>ESPN First Take is the hottest sports debate show on television.</p><p>SportsCenter with Scott Van Pelt showcases SVP’s unique view of the sports world. </p>",28
"<p>The ESPN App is the #1 Sports App in the market. The app gives you up-to-the-minute scores and the latest news, live video and audio streaming across ESPN’s networks, and loads of video highlights. </p>",29
"<p>Welcome to the Arizona Game & Fish Department's Hunt Draw Application System. The application period for the 2017 Fall Draw is now closed. If you would like more information on the draw, please visit www.azgfd.gov/draw  </p>",30
"<p>The Arizona Game and Fish Department is a state agency of Arizona, headquartered in Phoenix. The agency is tasked with conserving, enhancing, and restoring Arizona's diverse wildlife resources and habitats through aggressive protection and management programs. </p>",31
"<p>Major poker tournaments such as the World Poker Tour and World Series of Poker, use standings to determine a player of the year. </p>",32
"<p>Every poker tournament series, event and festival in the US and Canada is here on PokerAtlas, including the World Series of Poker (WSOP), World Poker Tour (WPT), Heartland Poker Tour (HPT), and all others. </p>",33
"<p>The Knot Wedding Budget Calculator, which automatically tells you how much you should be spending on everything from music to mother-in-law gifts, and allows you to track all your payments and their due dates. </p>",34
"<p>This free online Wedding Budget Calculator will help you when budgeting for a wedding by allowing you to create your own self-calculating worksheet -- either from scratch or from a sample wedding budget. </p>",35
"<p>The Current, a non-commercial radio station in Minnesota, plays the best new music next to the music you already love, from local to legendary. </p>",36
"<p>The Current debuted in February 2012 as a way to keep local residents updated on topics and trends that are significant and unique to life in the greater Spokane Valley. </p>",37
"<p>The Land Rover Defender (initially called the Land Rover Ninety and Land Rover One Ten) is a British four-wheel-drive off-road SUV developed from the original Land Rover Series launched in June 1948. In October 2013 Land Rover announced that production would end in December 2015 after a continuous run of 67 years. </p>",38
"<p>'The Defenders is a set of fictional superhero groups with fluctuating membership appearing in American comic books published by Marvel Comics. They are usually presented as a ''non-team'' of individualistic ''outsiders'' who, in their prior adventures, are known for following their own agendas.' </p>",39
"<p>We’re extremely proud that our S90 was one of the three top contenders for the North American Car of the Year Award.</p><p>Combining innovative technology with refined Scandinavian design, the XC90 is the most awarded luxury SUV of the century. </p>",40
"<p>The Volvo Group (stylised as VOLVO) is a Swedish multinational manufacturing company headquartered in Gothenburg. While its core activity is the production, distribution and sale of trucks, buses and construction equipment, Volvo also supplies marine and industrial drive systems and financial services. </p>",41
"<p>Connect with Pastor Rick Warren</p><p>In this broadcast, Pastor Rick teaches about the kind of goals that God blesses and how your goals can bring glory to God. </p>",42
"<p>'Richard Duane ''Rick'' Warren (born January 28, 1954) is an American evangelical Christian pastor and author. He is the founder and senior pastor of Saddleback Church, an evangelical megachurch in Lake Forest, California, that is the eighth-largest church in the United States (including multi-site churches).' </p>",43
"<p>Yahoo!, Inc. operates as a digital media company that is focused on informing, connecting, and entertaining users through research, communications, and digital content products. </p>",44
"<p>Yahoo! is an American multinational technology company headquartered in Sunnyvale, California which is a wholly owned subsidiary of Verizon Communications </p>",45
"<p>Diversity are a British street dance troupe formed in 2007 and based in London. They are best known for winning the 3rd series of Britain's Got Talent in 2009, beating 'runner-up' singer Susan Boyle in the live final. </p>",46
"<p>At Apple, we take a holistic view of diversity that looks beyond the usual measurements. A view that includes the varied perspectives of our employees as well as app developers, suppliers, and anyone who aspires to a future in tech. </p>",47
"<p>The Greek mathematician Euclid lived and flourished in Alexandria in Egypt around 300 BCE, during the reign of Ptolemy I. Almost nothing is known of his life, and no likeness or first-hand description of his physical appearance has survived antiquity, and so depictions of him (with a long flowing beard and cloth cap) in works of art are necessarily the products of the artist's imagination. </p>",48
"<p>Euclid was a great Greek mathematician. Although little is known about his early and personal life, he went on to contribute greatly in the field of mathematics and came to known as the Father of Geometry, Euclid is known to have taught mathematics in Ancient Egypt during the reign of Ptolemy I. </p>",49
"<p>Practice deep breathing. Although it may seem difficult, lowering your breathing speed will help to lower your heart rate. Take a breath for 5-8 seconds, hold it for 3-5 seconds, and then exhale slowly for a count of 5-8 seconds. </p>",50
"<p>A rapid heart rate can cause lots of anxiety. Some causes are harmless, while others are potentially life-threatening, making it difficult to determine when to call 911, when to try to lower the heart rate at home and when to just wait it out. </p>",51
"<p>Starbucks Corporation is an American coffee company and coffeehouse chain. Starbucks was founded in Seattle, Washington in 1971. As of November 2016, it operates 23,768 locations worldwide, including 13,107 (+170) in the United States, 2,204 (+86) in China, 1,418 (-12) in Canada, 1,160 (+2) in Japan and 872 in South Korea (bumping United Kingdom from 5th place) (Differences reflect growth since Jan 8, 2016). </p>",52
"<p>The Starbucks® app is a convenient way to pay in store or skip the line and order ahead. Rewards are built right in, so you’ll collect Stars and start earning free drinks and food with every purchase. </p>",53
"<p>Pulled Through Time! After falling into an old well and into ancient Japan, Kagome discovers that her destiny is linked to the dog-like half demon called Inuyasha! </p>",54
"<p>Inuyasha 1: The Girl Who Overcame Time…and the Boy Who Was Just Overcome</p><p>Inuyasha 10: Phantom Showdown: The Thunder Brothers Vs. Tetsusaiga </p>",55
"<p>The Playstation 2 has been, and will always be, one of the greatest systems of all time. When it comes to games, it was better than both its predecessor and its successor in almost every single way. </p>",56
"<p>This is a list of games for the Sony PlayStation 2 video game system. Title names may be different for each region due to the first language spoken. </p>",57
"<p>Diabetes education is the cornerstone of diabetes management, because diabetes requires day-to-day knowledge of nutrition, exercise, monitoring, and medication, according to Patricia Bonsignore, M.S., R.N., C.D.E., Diabetes Educator at the Joslin Diabetes Center. </p>",58
"<p>About Diabetes Education. Diabetes is a complex disease that requires daily self-management - making healthy food choices, staying physically active, monitoring your blood sugar and taking medications as prescribed. </p>",59
"<p>Atari is a corporate and brand name owned by several entities since its inception in 1972, currently by Atari Interactive, a subsidiary of the French publisher Atari, SA (ASA). </p>",60
"<p>Atari, Inc. was an American video game developer and home computer company founded in 1972 by Nolan Bushnell and Ted Dabney. Primarily responsible for the formation of the video arcade and modern video game industries, the company was closed and its assets split in 1984 as a direct result of the North American video game crash of 1983. </p>",61
"<p>HUB offers a range of customizable web design packages for small to medium businesses. We offer a number of features to get your business website off the ground and meet your unique needs. </p>",62
"<p>The pixel meets the screen, and we get busy implementing your website design, blowing your expectations away, in a time frame that works for your business. </p>",63
"<p>An elliptical trainer or cross-trainer (also called an X-trainer) is a stationary exercise machine used to simulate stair climbing, walking, or running without causing excessive pressure to the joints, hence decreasing the risk of impact injuries. </p>",64
"<p>Out of all the cardio machines, the elliptical probably gets the most side-eye.</p><p>Before even stepping foot on the machine, set an intention for the workout. </p>",65
"<p>A mobile phone is a portable telephone that can make and receive calls over a radio frequency link while the user is moving within a telephone service area.</p><p>Cellphones have small speakers so that the user can use a speakerphone feature and talk to a person on the phone without holding it to their ear. </p>",66
"<p>Find the smartphone you've been shopping for at Cricket, where we have great sales and everyday prices on popular phones. So whether you're a fan of Samsung smartphones or iPhones, Android or Windows phones, chances are the device you've been looking for is right here. </p>",67
"<p>In recognition of Pride Month, Mayor Dawn Zimmer and the City of Hoboken are pleased to announce the addition of the Academy Award-winning film The Adventures of Priscilla, Queen of the Desert, to the 2017 Movies Under the Stars lineup. </p>",68
"<p>Living in #Hoboken I get that we have to deal with the helicopters but I really hate when they hover low for an extended period of time… </p>",69
"<p>The Global Positioning System (GPS), originally Navstar GPS, is a space-based radionavigation system owned by the United States government and operated by the United States Air Force. </p>",70
"<p>How to Use this Tutorial GPS is a complex technology but understanding it can be quite easy if you take it one step at a time. This tutorial is designed to give you a good basic understanding of the principles behind GPS without loading you down with too much technical detail. </p>",71
"<p>Pampered Chef, Ltd. is a multinational multi-level marketing company that offers a line of kitchen tools, food products, and cookbooks for preparing food in the home. </p>",72
"<p>We exist to help you enjoy the moments most important to you and yours by inspiring satisfying, stress-free meals fit for the way you live. We use the power of cooking to bring people together as the cornerstone of realizing each person’s full potential–in the home and in life. </p>",73
"<p>Dogs in our Adoption Center. Our dog and cat rooms are closed daily for naptime from 1-2pm, giving our animals a much-needed break. Our lobby remains open where you can speak with staff, enjoy refreshments, read or watch videos! </p>",74
"<p>BARC Animal Shelter and Adoptions. Adopt A Pet / Search Adoptable Pets. **Please note that all adoptions are completed on a first come, first served basis.** </p>",75
"<p>The Disneyland Hotel is a resort hotel located at the Disneyland Resort in Anaheim, California, owned by the Walt Disney Company and operated through its Parks and Resorts division. </p>",76
"<p>Disney Disney Disney... you need to understand that Disney gets an A++ is trying to go above and beyond to make your stay magical. </p>",77
"<p>With more than 18,000 unique page views each month, the Michigan Nonprofit Job Center is a leading resource for nonprofit job and internship opportunities in Michigan. </p>",78
"<p>Looking for a job? You’re looking in the right place. The Michigan Works! System is one of the state's most valuable and accessible resources for those seeking employment. </p>",79
"<p>Orange County Convention Center is the second largest meeting and convention facility in the country. Located just 15 minutes from the Orlando International Airport, the Convention Center is surrounded by more than 32,000+ hotel rooms that are directly accessible by International Drive's own transportation system, the I-RIDE Trolley Service. </p>",80
"<p>Starting in 2017, the NAVC will host our annual NAVC Conference at the Orange County Convention Center (OCCC) in Orlando, Florida. Mark your calendar for the first OCCC dates: February 4-8, 2017. </p>",81
