AssignmentStatus,WorkTimeInSeconds,Input.case,Input.query,Input.title,Input.link,Input.snippet_A,Input.snippet_B,Answer.better,Answer.case,Answer.query
Approved,10,0,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,<p>Obama was the 44th President of the US. He's married to Michelle and he has a lot of Kenyan people in his family but also some European ancestry as well.</p><p></p><p>The most recent person in Obama's family to immigrate to the US was in 1850. It was a man that came from Ireland to Ohio.</p>,"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",2,0|0,Obama's family tree
Approved,26,0,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,<p>Obama was the 44th President of the US. He's married to Michelle and he has a lot of Kenyan people in his family but also some European ancestry as well.</p><p></p><p>The most recent person in Obama's family to immigrate to the US was in 1850. It was a man that came from Ireland to Ohio.</p>,"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",2,0|0,Obama's family tree
Approved,34,0,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,<p>Obama was the 44th President of the US. He's married to Michelle and he has a lot of Kenyan people in his family but also some European ancestry as well.</p><p></p><p>The most recent person in Obama's family to immigrate to the US was in 1850. It was a man that came from Ireland to Ohio.</p>,"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",g,0|0,Obama's family tree
Approved,96,0,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,<p>Obama was the 44th President of the US. He's married to Michelle and he has a lot of Kenyan people in his family but also some European ancestry as well.</p><p></p><p>The most recent person in Obama's family to immigrate to the US was in 1850. It was a man that came from Ireland to Ohio.</p>,"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",b,0|0,Obama's family tree
Approved,40,0,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,<p>Obama was the 44th President of the US. He's married to Michelle and he has a lot of Kenyan people in his family but also some European ancestry as well.</p><p></p><p>The most recent person in Obama's family to immigrate to the US was in 1850. It was a man that came from Ireland to Ohio.</p>,"<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",1,0|0,Obama's family tree
Approved,66,1,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,"<p>The 44th president of the United States Barack Obama and his wife Michelle come from different ancestry from the people of Kenya, African American, and Old Stock American.</p><p></p><p>On his maternal side the most recent immigrant from his ancestry can be traced back to Moneygall, Ireland in 1829 wand then emigrated to Ohio via New York in 1850</p>","<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",2,1|1,Obama's family tree
Approved,41,1,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,"<p>The 44th president of the United States Barack Obama and his wife Michelle come from different ancestry from the people of Kenya, African American, and Old Stock American.</p><p></p><p>On his maternal side the most recent immigrant from his ancestry can be traced back to Moneygall, Ireland in 1829 wand then emigrated to Ohio via New York in 1850</p>","<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",2,1|1,Obama's family tree
Approved,15,1,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,"<p>The 44th president of the United States Barack Obama and his wife Michelle come from different ancestry from the people of Kenya, African American, and Old Stock American.</p><p></p><p>On his maternal side the most recent immigrant from his ancestry can be traced back to Moneygall, Ireland in 1829 wand then emigrated to Ohio via New York in 1850</p>","<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",g,1|1,Obama's family tree
Approved,37,1,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,"<p>The 44th president of the United States Barack Obama and his wife Michelle come from different ancestry from the people of Kenya, African American, and Old Stock American.</p><p></p><p>On his maternal side the most recent immigrant from his ancestry can be traced back to Moneygall, Ireland in 1829 wand then emigrated to Ohio via New York in 1850</p>","<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",1,1|1,Obama's family tree
Approved,102,1,Obama's family tree,Family of Barack Obama - Wikipedia,https://en.wikipedia.org/wiki/Family_of_Barack_Obama,"<p>The 44th president of the United States Barack Obama and his wife Michelle come from different ancestry from the people of Kenya, African American, and Old Stock American.</p><p></p><p>On his maternal side the most recent immigrant from his ancestry can be traced back to Moneygall, Ireland in 1829 wand then emigrated to Ohio via New York in 1850</p>","<p>The family of Barack Obama, the 44th President of the United States, and his wife Michelle Obama is made up of people of Kenyan (Luo), African-American, and Old Stock American (including originally English, Scottish, Welsh, Irish, French, German, and Swiss) ancestry.</p><p>Born circa 1829 in Moneygall, Ireland, he emigrated to Ohio via New York in 1850, making him the most recent immigrant on the maternal side of Barack Obama's family tree. </p>",2,1|1,Obama's family tree
